"language","name","native","regulations","guidelines","pdf","tex_command","tex_encoding"
"default","English","English","Regulations","Guidelines","wca-regulations-and-guidelines","pdflatex","default"
"english","English","English","Regulations","Guidelines","wca-regulations-and-guidelines","xelatex","default"
"german","German","Deutsch","Regeln","Richtlinien","wca-regeln-und-richtlinien","pdflatex","utf8"
"indonesian","Indonesian","Indonesian","Regulations","Guidelines","wca-regulations-and-guidelines","xelatex","default"
"russian","Russian","Russian","Regulations","Guidelines","wca-regulations-and-guidelines","pdflatex","russian"
"chinese","Chinese","Chinese","Regulations","Guidelines","wca-regulations-and-guidelines","xelatex","cjk"
"hungarian","Hungarian","Hungarian","Regulations","Guidelines","wca-regulations-and-guidelines","pdflatex","hungarian"
"italian","Italian","Italiano","Regolamento","Linee Guida","regolamento-e-linee-guida-wca","xelatex","default"
"japanese","Japanese","Japanese","Regulations","Guidelines","wca-regulations-and-guidelines","xelatex","cjk"
"spanish","Spanish","Español","Reglamento","Directrices","wca-reglamento-y-directrices","pdflatex","utf8"
