id	name	information	external_website	venue	city_name	country_id	venue_address	venue_details	cell_name	cancelled	event_specs	delegates	organizers	year	month	day	end_year	end_month	end_day	latitude_microdegrees	longitude_microdegrees
100Merito2018	100º Mérito 2018	Qualquer pessoa que resolva o Cubo Mágico em menos de 10 minutos deve participar. Venha se divertir com a gente! Por favor, inscreva-se antecipadamente. Instruções na aba de inscrições.	NULL	[Mérito Pré-Vestibulares](https://www.facebook.com/meritoprevestibulares/)	Santarém, Pará	Brazil	Avenida Mendonça Furtado, 1120 - CEP: 68040050	Próximo ao Colégio São Francisco	100º Mérito 2018	0	222 333 333bf 333ft 444 pyram skewb	[{Rafael de Andrade Cinoto}{mailto:247@worldcubeassociation.org}]	[{Davi de Andrade Iácono}{mailto:14973@worldcubeassociation.org}]	2018	4	14	2018	4	14	-2422498	-54712597
100YearsRepublicAnkara2023	100 Years Republic Ankara 2023	[TR] Kayıt sırasında adınızı ve soyadınızı lütfen kimlikte yazıldığı gibi hatasız giriniz. İlk harfleri büyük yazınız. Yarışmaya gelirken yanınızda kimlik bulundurmayı unutmayınız. **Lütfen sekmeleri okuyunuz.** [EN] Please enter your name and surname during registration as it is written on your ID. The First letters are capital letters. Dont forget to have an ID card with you when you come to the competition. **Please read all the tabs.**	NULL	TMMOB Teoman Öztürk Öğrenci Evi ve Sosyal Tesisi	Ankara	Turkey	Mehmet Akif Ersoy, 295. Sk. No:6, 06200 Yenimahalle/Ankara	6.kat / 6th floor	100 Years Republic Ankara 2023	0	222 333 333oh 444 555 clock pyram skewb sq1	[{Can Ersoy}{mailto:20111@worldcubeassociation.org}]	[{İskender Aznavur}{mailto:295@worldcubeassociation.org}] [{Tuncer Efe Doğan}{mailto:274740@worldcubeassociation.org}]	2023	10	28	2023	10	29	39964026	32766238
100YearsRepublicIstanbul2023	100 Years Republic İstanbul 2023	[TR] Kayıt sırasında adınızı ve soyadınızı lütfen kimlikte yazıldığı gibi hatasız giriniz. İlk harfleri büyük yazınız. Yarışmaya gelirken yanınızda kimlik bulundurmayı unutmayınız. **Lütfen sekmeleri okuyunuz.** [EN] Please enter your name and surname during registration as it is written on your ID. The First letters are capital letters. Dont forget to have an ID card with you when you come to the competition. **Please read all the tabs.**	NULL	[Bil Koleji Ümraniye Yerleşkesi](https://bilokullari.com.tr/umraniye-bil-koleji)	İstanbul	Turkey	Cemil Meriç, Alemdağ Cd No:321, 34771 Dudullu Osb/Ümraniye/İstanbul	Yemek katı	100 Years Republic İstanbul 2023	0	222 333 333bf 333oh 444 555 clock pyram skewb sq1	[{Mustafa Çamlıca}{mailto:131142@worldcubeassociation.org}] [{Ömer Çetinkaya}{mailto:20033@worldcubeassociation.org}]	[{Alper Şakım}{mailto:148950@worldcubeassociation.org}] [{İskender Aznavur}{mailto:295@worldcubeassociation.org}] [{Toprak Berva Yıldırım}{mailto:225114@worldcubeassociation.org}]	2023	10	28	2023	10	29	41016582	29142873
100YilMBACubeWeekend2023	100. Yıl MBA Cube Weekend 2023	[TR] Kayıt sırasında adınızı ve soyadınızı lütfen kimlikte yazıldığı gibi hatasız giriniz. İlk harfleri büyük yazınız. Yarışmaya gelirken yanınızda kimlik bulundurmayı unutmayınız. **Lütfen sekmeleri okuyunuz.** [EN] Please enter your name and surname during registration as it is written on your ID. The First letters are capital letters. Dont forget to have an ID card with you when you come to the competition. **Please read all the tabs.**	NULL	[MBA Okulları Çamlıca Yerleşkesi](https://www.mbaokullari.k12.tr/tr/camlica-kampus)	İstanbul	Turkey	Küçük Çamlıca, Libadiye Cd. No:30, 34692 Üsküdar/İstanbul	Yemekhane / Dining Hall	100. Yıl MBA Cube Weekend 2023	0	222 333 333bf 333oh 444 555 666 777 clock minx pyram skewb sq1	[{Mustafa Çamlıca}{mailto:131142@worldcubeassociation.org}] [{Ömer Çetinkaya}{mailto:20033@worldcubeassociation.org}] [{Tuncer Efe Doğan}{mailto:274740@worldcubeassociation.org}]	[{Alper Şakım}{mailto:148950@worldcubeassociation.org}] [{İskender Aznavur}{mailto:295@worldcubeassociation.org}] [{Muhammed Volkan Güngör}{mailto:102909@worldcubeassociation.org}]	2023	12	16	2023	12	17	41012107	29074717
10AniversarioGuatemala2023	Décimo Aniversario Guatemala 2023	Ésta es una competencia conmemorativa en honor a haber cumplido 10 años desde la primera competencia en el país en Quetzaltenango 2023. This is a commemorative competition in honor of having completed 10 years since our first competition in the country in Quetzaltenango 2023.	NULL	[Colegio Caré](https://care.edu.gt/)	Guatemala City	Guatemala	23 calle 15-45, zona 13		10 Aniversario Guatemala 2023	1	222 333 333bf 333oh 444 555 minx pyram	[{Adrián Ramírez}{mailto:327@worldcubeassociation.org}]	[{Nancy Ramírez}{mailto:57504@worldcubeassociation.org}]	2023	10	14	2023	10	15	14573384	-90525865
10doRioGrandedoNorte2018	10º do Rio Grande do Norte 2018	O valor das inscrições será de R$ 6,00 a serem pagos no dia do campeonato. Sócio da **ANCM** terá inscrição **GRATUITA** O evento é aberto a qualquer pessoa de qualquer nacionalidade. As inscrições estarão abertas até 30 de novembro de 2018. Para mais informações consulte a aba Inscrições.	NULL	Escola Estadual em Tempo Integral Francisco de Assis Bittencourt	João Câmara, Rio Grande do Norte	Brazil	R. João Teixeira, João Câmara - RN, 59550-000	A competição acontecerá no Pátio da escola	10º do Rio Grande do Norte 2018	0	222 333 333fm 333oh 444 555 clock minx pyram skewb sq1	[{Pablo Eduardo Nikolais Teixeira Bonifácio da Silva}{mailto:1873@worldcubeassociation.org}]	[{Associacao Norte Rio Grandense Cubo Mágico}{mailto:98953@worldcubeassociation.org}] [{Edvan Pontes de Oliveira}{mailto:5373@worldcubeassociation.org}]	2018	12	15	2018	12	16	-5536382	-35816234
10JohrWilerWurfelfast2024	10 Johr Wiler Würfelfäst 2024	![](https://image.jimcdn.com/app/cms/image/transf/dimension=684x10000:format=png/path/s3a9a136d3c2315ad/image/ibf8eb7faeef2afa2/version/1707248635/image.png) deutsch Bitte beachte, dass du nur an einem der beiden Wettbewerbe teilnehmen kannst. Wenn du dich für beide Wettbewerbe anmeldest, so zählt nur die erste Anmeldung und wir werden die zweite (spätere) Anmeldung unverzüglich löschen. english Please note that you can only compete in one of the two competitions. If you register for both competitions, only the first registration will be valid and we will immediately delete the second (later) registration. 	NULL	[Stadtsaal Wil](http://www.stadtsaal-wil.ch/)	Wil SG	Switzerland	Bahnhofplatz 6, 9500 Wil SG	Stadtsaal	10 Johr Wiler Würfelfäst 2024	0	333 333bf 333oh 444 clock minx	[{Ioannis Papadopoulos}{mailto:18407@worldcubeassociation.org}] [{Mattia Pasquini}{mailto:135257@worldcubeassociation.org}] [{Oleg Gritsenko}{mailto:140@worldcubeassociation.org}]	[{Thomas Stadler}{mailto:1470@worldcubeassociation.org}]	2024	3	24	2024	3	24	47463297	9041582
10thAnniversaryCervantes2024	10th Anniversary Cervantes 2024	![](https://www.worldcubeassociation.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcElrIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4be3c11536038145829dbcba17ca15bdea04981e/imagen.png) # ![](https://www.worldcubeassociation.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaGxIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e1a87d9563999f890af638f98836b63b2aac90c5/6u.png) Español Límite de competidores: 40. * Leer el [Reglamento de la WCA](https://www.worldcubeassociation.org/regulations/) para evitar posibles inconvenientes. * Esta competencia está abierta a competidores de cualquier nacionalidad, cualquier edad y a nuevos competidores, sin importar sus tiempos de resolución. * **COMPETIDORES NUEVOS**: deben leer [Importante](https://www.worldcubeassociation.org/competitions/10thAnniversaryCervantes2024#47610-importante-read) y [Competidores nuevos](https://www.worldcubeassociation.org/competitions/10thAnniversaryCervantes2024#47611-competidores-nuevos-newcomers). * Los competidores deben llevar sus propios puzzles. * Los competidores deben estar presentes y listos para competir cuando se los llama. * Es importante leer toda la información disponible en la página de la competencia. Ante cualquier duda, consultar a los organizadores o a los delegados de la WCA. # ![](https://www.worldcubeassociation.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaHBIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--bacb00caed7d0c9177dc3ea7d687667b270ce30d/6i.png) English Competitor limit: 40. * Read the [WCA Regulations](https://www.worldcubeassociation.org/regulations/) to avoid any issue. * This competition is open to competitors of any nationality or age. * **NEW COMPETITORS**: You must read [Important](https://www.worldcubeassociation.org/competitions/10thAnniversaryCervantes2024#47610-importante-read) and [New competitors](https://www.worldcubeassociation.org/competitions/10thAnniversaryCervantes2024#47611-competidores-nuevos-newcomers). * Competitors must bring their own puzzles. * Competitors must be present and ready to compete when called. * It is important to read all the information available in the competition's website. Feel free to contact the organizers or the WCA Delegates.	NULL	[Colegio Cervantes](https://www.colegiocervantes.edu.uy/)	Montevideo	Uruguay	Maipú 1751, 11600 Montevideo, Departamento de Montevideo	La competencia es en el anexo.	10th Anniversary Cervantes 2024	0	222 333 333bf 333mbf 444 444bf 555 555bf 666 777 clock minx pyram skewb	[{Gennaro Monetti}{mailto:48161@worldcubeassociation.org}] [{Manuel Malvárez}{mailto:129654@worldcubeassociation.org}]	[{Asociación Uruguaya de Speedcubing}{mailto:306601@worldcubeassociation.org}] [{Bruno Lezama}{mailto:10398@worldcubeassociation.org}] [{Christian Goñi}{mailto:6130@worldcubeassociation.org}] [{Sofía Rojo}{mailto:312534@worldcubeassociation.org}]	2024	9	14	2024	9	15	-34895304	-56145318
12SidesofSilesia2018	12 Sides of Silesia 2018	Limit of competitors: 50. Entry fee: 20 PLN 	NULL	[Centrum Aktywności Obywatelskiej] (http://ngo.dabrowa-gornicza.pl/)	Dąbrowa Górnicza	Poland	Henryka Sienkiewicza 6A, 41-300 Dąbrowa Górnicza		12 Sides of Silesia 2018	0	333bf 666 777 minx sq1	[{Piotr Trząski}{mailto:14631@worldcubeassociation.org}]	[{Bartłomiej Owczarek}{mailto:5391@worldcubeassociation.org}] [{Jan Zych}{mailto:5390@worldcubeassociation.org}] [{Piotr Trząski}{mailto:14631@worldcubeassociation.org}]	2018	3	3	2018	3	3	50324482	19179497
150thCubeMeetinginBrest2017	150th Cube Meeting in Brest 2017	Registration will be closed on July, 16 or when we reach 70 competitors. Registration fee is (2 + n) BYN (where n is number of events) . Please see the website for more details.	http://vk.com/cmb150	[Brest Regional Centre of Olympic Reserve for Rowing](http://www.rowing.brest.by/)	Brest	Belarus	street Oktyabrskoy revolyutsii, 2	On the second floor in conference hall	150 Cube Meeting in Brest 2017	0	222 333 333bf 333fm 333ft 333mbf 333oh 444 444bf 555 555bf 666 777 clock minx pyram skewb sq1	[{Ilya Tsiareshka}{mailto:118@worldcubeassociation.org}]	[{Ilya Tsiareshka}{mailto:118@worldcubeassociation.org}] [{Pavel Bondarovich}{mailto:24117@worldcubeassociation.org}]	2017	7	22	2017	7	23	52082331	23741572
