pos	best	average	competition_id	round_type_id	event_id	person_name	person_id	format_id	regional_single_record	regional_average_record	person_country_id
15	1968	2128	LyonOpen2007	1	333	Etienne Amany	2007AMAN01	a	AfR	AfR	Cote d_Ivoire
16	1731	2140	LyonOpen2007	1	333	Thomas Rouault	2004ROUA01	a	NULL	NULL	France
17	2305	2637	LyonOpen2007	1	333	Antoine Simon-Chautemps	2005SIMO01	a	NULL	NULL	France
18	2452	2637	LyonOpen2007	1	333	Irène Mallordy	2007MALL01	a	NULL	NULL	France
19	2677	2906	LyonOpen2007	1	333	Marlène Desmaisons	2007DESM01	a	NULL	NULL	France
20	1869	2910	LyonOpen2007	1	333	Ton Dennenbroek	2003DENN01	a	NULL	NULL	Netherlands
21	2411	2910	LyonOpen2007	1	333	Arnaud van Galen	2006GALE01	a	NULL	NULL	Netherlands
22	2385	3111	LyonOpen2007	1	333	Cyrille Cornu	2007CORN01	a	NULL	NULL	France
23	2639	3111	LyonOpen2007	1	333	Christophe Woittequand	2005WOIT01	a	NULL	NULL	France
24	2687	3265	LyonOpen2007	1	333	Georges Poinsot	2007POIN01	a	NULL	NULL	France
25	2934	3337	LyonOpen2007	1	333	Laetitia Lemoine	2007LEMO01	a	NULL	NULL	France
26	3062	3949	LyonOpen2007	1	333	Jean-Louis Mathieu	2006MATH01	a	NULL	NULL	France
27	3609	4430	LyonOpen2007	1	333	Guillaume Terrancle	2007TERR01	a	NULL	NULL	France
28	4416	4894	LyonOpen2007	1	333	Maria Oey	2007OEYM01	a	NULL	NR	Indonesia
29	3727	5327	LyonOpen2007	1	333	Olivier Pibarot	2007PIBA01	a	NULL	NULL	France
30	5484	8876	LyonOpen2007	1	333	Pierre-Baptiste Boccard	2007BOCC01	a	NULL	NULL	France
1	1141	1242	LyonOpen2007	2	333	Edouard Chambon	2004CHAM01	a	NULL	NULL	France
2	1168	1320	LyonOpen2007	2	333	Jean Pons	2004PONS01	a	NULL	NULL	France
3	1078	1374	LyonOpen2007	2	333	Joël van Noort	2004NOOR01	a	NR	NULL	Netherlands
4	1240	1427	LyonOpen2007	2	333	Thibaut Jacquinot	2006JACQ01	a	NULL	NULL	France
5	1346	1624	LyonOpen2007	2	333	Rama Temmink	2006TEMM01	a	NULL	NULL	Netherlands
6	1453	1626	LyonOpen2007	2	333	Lars Vandenbergh	2003VAND01	a	NULL	NULL	Belgium
7	1522	1758	LyonOpen2007	2	333	Thomas Watiotienne	2007WATI01	a	NULL	NULL	France
8	1630	1764	LyonOpen2007	2	333	Gilles van den Peereboom	2005PEER01	a	NULL	NULL	Belgium
9	1466	1815	LyonOpen2007	2	333	Gilles Roux	2004ROUX01	a	NULL	NULL	France
10	1621	1853	LyonOpen2007	2	333	Guillaume Meunier	2004MEUN01	a	NULL	NULL	France
11	1650	1859	LyonOpen2007	2	333	Aurelien Souchet (高凡)	2006SOUC01	a	NULL	NULL	France
12	1645	1899	LyonOpen2007	2	333	Thomas Rouault	2004ROUA01	a	NULL	NULL	France
13	1655	1899	LyonOpen2007	2	333	Ton Dennenbroek	2003DENN01	a	NULL	NULL	Netherlands
14	1684	1947	LyonOpen2007	2	333	Stefan Huber	2007HUBE01	a	NULL	NR	Austria
15	1985	2124	LyonOpen2007	2	333	Frédérick Badie	2003BADI01	a	NULL	NULL	France
16	1696	2233	LyonOpen2007	2	333	Antoine Simon-Chautemps	2005SIMO01	a	NULL	NULL	France
17	2224	2640	LyonOpen2007	2	333	Etienne Amany	2007AMAN01	a	NULL	NULL	Cote d_Ivoire
18	2390	2735	LyonOpen2007	2	333	Marlène Desmaisons	2007DESM01	a	NULL	NULL	France
