best	personId	eventId	worldRank	continentRank	countryRank
39	2021YEZI01	222	1	1	1
41	2016GUOS02	222	2	2	1
43	2021ZAJD03	222	3	1	1
44	2013MARC05	222	4	2	1
45	2023XIAT01	222	5	3	2
46	2019WANY36	222	6	4	3
47	2018WANG35	222	7	5	4
47	2022JOHN14	222	7	1	1
49	2021LEES01	222	9	2	1
49	2023LARR09	222	9	3	1
49	2014CZAP01	222	9	3	2
50	2018KHAN28	222	12	1	1
51	2017GARR05	222	13	2	2
51	2017AGGA01	222	13	2	2
51	2023JURI01	222	13	5	1
52	2022MULL02	222	16	6	1
52	2022STOJ03	222	16	6	3
52	2015ZUBO01	222	16	6	3
52	2014RZEW01	222	16	6	3
53	2017CHOI07	222	20	6	1
53	2016JONE04	222	20	3	2
53	2018KUZM02	222	20	10	6
54	2022FRED05	222	23	7	1
54	2022FEDE01	222	23	11	1
54	2022RUDA02	222	23	4	3
54	2019MORG10	222	23	11	1
54	2017PABI01	222	23	11	7
55	2019HUAH03	222	28	8	5
56	2019GAOY01	222	29	9	6
56	2022TURN10	222	29	14	2
56	2017MART94	222	29	4	1
56	2007VALK01	222	29	14	1
56	2014MILL04	222	29	5	2
57	2016DEXT01	222	34	6	4
57	2015LARS04	222	34	16	1
57	2023DINE06	222	34	16	1
57	2023CARE06	222	34	5	4
57	2018HANU02	222	34	16	8
57	2021RAVI01	222	34	6	4
57	2021PIET01	222	34	16	8
58	2021NGUY04	222	41	8	6
58	2019VUJC01	222	41	8	3
58	2018LINH02	222	41	8	6
58	2023LAVO01	222	41	6	1
58	2017HERN11	222	41	6	2
58	2016FEIS01	222	41	6	5
58	2016SANT08	222	41	6	1
58	2011SBAH01	222	41	6	5
59	2013BURL01	222	49	20	10
59	2013KRAS02	222	49	20	10
59	2016ROLZ01	222	49	20	1
59	2016POLA01	222	49	11	7
59	2017ENGB01	222	49	11	8
59	2021SOTO01	222	49	1	1
59	2022CHEN37	222	49	11	7
59	2019MAGU04	222	49	1	1
59	2021MALI02	222	49	20	10
59	2021CHEL01	222	49	20	2
59	2022PHAN03	222	49	10	1
60	2018FOST03	222	60	12	4
60	2018KANE03	222	60	25	1
60	2018DREI02	222	60	25	1
60	2019SART01	222	60	25	1
60	2015HEJU02	222	60	12	9
60	2017SARE03	222	60	13	3
60	2016KOLA02	222	60	25	13
60	2014ZYCH01	222	60	25	13
60	2023KOWA07	222	60	25	13
61	2019TARA09	222	69	31	2
61	2022RATT01	222	69	14	10
61	2018KOLO06	222	69	31	2
61	2018MUSI03	222	69	31	16
61	2015SALO01	222	69	31	2
61	2015WANG09	222	69	11	1
61	2016LIJI05	222	69	11	7
61	2016LINB01	222	69	14	4
61	2011REED01	222	69	14	9
61	2017TRUC02	222	69	14	9
62	2014KIPR01	222	79	15	11
62	2015CHEN56	222	79	13	2
62	2015BART05	222	79	17	11
62	2012CALL01	222	79	17	11
62	2015KUCA01	222	79	17	11
62	2022STEF06	222	79	35	1
62	2018RUSH01	222	79	1	1
63	2018LAPE01	222	86	3	1
63	2020MOCO01	222	86	16	12
63	2021FARE01	222	86	16	12
63	2021SEUF01	222	86	16	12
63	2022HETH01	222	86	16	5
63	2022MATY02	222	86	36	17
63	2022MARC05	222	86	36	17
63	2014ROME06	222	86	20	3
63	2014OMIA01	222	86	36	17
63	2016PFEI01	222	86	20	14
63	2016QUIN01	222	86	20	14
64	2016OCON02	222	97	39	2
64	2016TRAG01	222	97	23	16
64	2016THOR08	222	97	39	1
64	2009LIUE01	222	97	23	16
