scramble	competitionId	eventId	groupId	isExtra	roundTypeId	scrambleId	scrambleNum
U R' L' B U B' R' B' L' U L' u' r' b'	GaleriesDorianOpen2014	pyram	A	0	1	1	1
B' L' U' B U' L U' R B' R' L' u r	GaleriesDorianOpen2014	pyram	A	0	1	2	2
R' U R' L' B' U L' B' R L' U l'	GaleriesDorianOpen2014	pyram	A	0	1	3	3
L R' L U B R L R B R L' u' l	GaleriesDorianOpen2014	pyram	A	0	1	4	4
B' U R L' R B L' U' B' R' U' l' r'	GaleriesDorianOpen2014	pyram	A	0	1	5	5
L' B' U' B' R U R B' U' B L u r' b'	GaleriesDorianOpen2014	pyram	A	1	1	6	1
U' B' U' R' L U' B U' L' U' B' r' b'	GaleriesDorianOpen2014	pyram	A	1	1	7	2
U' R L U' L U' L' R U' B' R u' l b	GaleriesDorianOpen2014	pyram	B	0	1	8	1
U R U' B U B L U R' U B' u l r' b'	GaleriesDorianOpen2014	pyram	B	0	1	9	2
B' L' R' B' R L' U' R L B' L' u l' b	GaleriesDorianOpen2014	pyram	B	0	1	10	3
U' B L B' L R L' R L B U' u' l b'	GaleriesDorianOpen2014	pyram	B	0	1	11	4
B R' U B U R L U' R' L' U u' l' r'	GaleriesDorianOpen2014	pyram	B	0	1	12	5
L B R' B L R B L U' L U' u l' r' b	GaleriesDorianOpen2014	pyram	B	1	1	13	1
U' R L' B' U' L R' U B' R' L u l' r b	GaleriesDorianOpen2014	pyram	B	1	1	14	2
L' B' R L' U B' L' R' U R' U' u' b'	GaleriesDorianOpen2014	pyram	A	0	f	15	1
R' L U' L R' U R U' R' L' R' u' l' r b'	GaleriesDorianOpen2014	pyram	A	0	f	16	2
R' L' U' L R' B' U' L R' L U u l b	GaleriesDorianOpen2014	pyram	A	0	f	17	3
L R' L' R' U' R' B' U' R' U' B u' r	GaleriesDorianOpen2014	pyram	A	0	f	18	4
U' B' L U L B' R L B' R' L' l r b	GaleriesDorianOpen2014	pyram	A	0	f	19	5
L' R' U B' R U L' B' U L' B u l b'	GaleriesDorianOpen2014	pyram	A	1	f	20	1
L U' B' R B U' R' L' B L' B l r	GaleriesDorianOpen2014	pyram	A	1	f	21	2
B2 U' L2 U F2 L2 D2 L2 U F2 L F2 L D U L' D2 F' U2 Fw	GaleriesDorianOpen2014	333bf	A	0	c	22	1
D2 U L2 B2 R2 F2 R2 U2 R2 D' R' D B2 U B' R B' D Fw' Uw'	GaleriesDorianOpen2014	333bf	A	0	c	23	2
L2 D F2 D' B2 L2 R2 U2 F2 D L' U2 R2 B' R F R2 D' U F Rw' Uw'	GaleriesDorianOpen2014	333bf	A	0	c	24	3
U' B2 U2 F2 L2 D' F2 L2 B' D2 B' L' F R D L' B2 L2 B2 D' Rw2 Uw	GaleriesDorianOpen2014	333bf	A	1	c	25	1
U2 R2 U' F2 D' L2 F2 D L B2 F2 D' L' U2 L R F U2 B' D2 Fw Uw2	GaleriesDorianOpen2014	333bf	A	1	c	26	2
U2 L2 U' L2 U2 B2 D L R' B D' F L2 D2 F' L D F' U' Rw Uw2	GaleriesDorianOpen2014	333bf	B	0	c	27	1
D U B2 L2 D R2 U' L2 F L R D2 B' D B2 R D2 F L' Fw' Uw'	GaleriesDorianOpen2014	333bf	B	0	c	28	2
R2 F R2 F2 D2 U2 F' U2 F' L2 D' L B2 F2 D F L F L2 R' F2 Rw'	GaleriesDorianOpen2014	333bf	B	0	c	29	3
L F2 U2 L D2 R2 B2 D2 B2 R' B F' R' U' F' R F' L' F' U Rw2 Uw'	GaleriesDorianOpen2014	333bf	B	1	c	30	1
U2 B2 R2 F2 U' L2 B2 U R2 U' L D' L2 F R B2 F' R Fw Uw'	GaleriesDorianOpen2014	333bf	B	1	c	31	2
B2 R2 F2 L' U2 R D2 R D' U2 F2 L' R' D L' F L D L	GaleriesDorianOpen2014	333	A	0	1	32	1
R U' D' R2 D' R D B2 L B2 D' F B2 D2 R2 F' D2 F' L2	GaleriesDorianOpen2014	333	A	0	1	33	2
U R' U F2 R U F B2 U R' U2 F' L2 B2 R2 U2 B U2 B U2	GaleriesDorianOpen2014	333	A	0	1	34	3
B D2 F' R2 D2 B U2 B' L' R' D U' L' B R F' R' U R'	GaleriesDorianOpen2014	333	A	0	1	35	4
D2 L2 R F2 D2 F2 R' U2 L B' U F R2 B' D' F2 R U2 L2 R'	GaleriesDorianOpen2014	333	A	0	1	36	5
F2 L' F2 R2 B2 F2 R D2 L' U2 F U2 R D U L D' B2 U2 F	GaleriesDorianOpen2014	333	A	1	1	37	1
B2 D' L2 U' R2 B2 D' B2 F2 L' F D L2 F R' D L' B' D F'	GaleriesDorianOpen2014	333	A	1	1	38	2
F2 D2 B U2 R2 D2 R2 U2 F L' F2 D' B' R' D' U R2 D' L'	GaleriesDorianOpen2014	333	B	0	1	39	1
R2 B2 D' F2 U' L2 F2 D2 L' B2 R U' B' F2 L F2 L2 R2 U2 R'	GaleriesDorianOpen2014	333	B	0	1	40	2
F' B' L' F2 L' U2 L B' L' U' B' D2 R B2 R2 L' D2 L	GaleriesDorianOpen2014	333	B	0	1	41	3
L U L' D F2 L' U2 D' R L' B L' D2 L2 F2 D2 L2	GaleriesDorianOpen2014	333	B	0	1	42	4
D L2 U2 B2 U L2 B2 D L2 U B R2 U' B' L' D' U' F' L' B' R'	GaleriesDorianOpen2014	333	B	0	1	43	5
R U2 R2 F2 R' F2 L D2 F2 D' L' R2 B2 R F U' F2 U2	GaleriesDorianOpen2014	333	B	1	1	44	1
R' D2 R' B2 R2 U2 B2 U2 F2 U' B' R' D' L' B D F' R' D U	GaleriesDorianOpen2014	333	B	1	1	45	2
D R2 D2 L2 D L2 R2 F2 D B2 L B U L2 D2 R B F2 D' R'	GaleriesDorianOpen2014	333	C	0	1	46	1
F2 U2 B2 R2 U2 B' U2 R B D' F' R' U' R F2 D F' D	GaleriesDorianOpen2014	333	C	0	1	47	2
U F' R' F B2 R2 U B' R2 L' B' L F2 R2 L B2 L D2 F2	GaleriesDorianOpen2014	333	C	0	1	48	3
B R2 B2 L' U' L' D R F L' B L D2 B2 L2 B2 L D2 R2 B2	GaleriesDorianOpen2014	333	C	0	1	49	4
