best	personId	eventId	worldRank	continentRank	countryRank
88	2019WANY36	222	1	1	1
90	2022PHAN03	222	2	2	1
92	2018KHAN28	222	3	1	1
93	2016FEIS01	222	4	2	2
97	2012PATE01	222	5	1	1
97	2021ZAJD03	222	5	1	1
100	2023TULL04	222	7	3	1
102	2022RUDA02	222	8	1	1
107	2022SCHE13	222	9	4	1
107	2021YEZI01	222	9	3	2
109	2022VISH01	222	11	5	1
109	2017TSVE02	222	11	5	1
110	2018KUZM02	222	13	7	2
111	2022STOJ03	222	14	8	3
111	2022CHAI02	222	14	3	3
113	2022DINC01	222	16	4	4
113	2017GARR05	222	16	4	4
114	2018PATT04	222	18	2	2
115	2018ALON07	222	19	9	2
115	2023MALO01	222	19	6	6
115	2023LARR09	222	19	9	1
116	2021PIET01	222	22	11	4
116	2021DUNA01	222	22	7	7
117	2022CHEN37	222	24	8	8
117	2020REDD01	222	24	8	8
117	2022NUNE03	222	24	8	8
117	2017BASH04	222	24	12	2
117	2016LIJI05	222	24	4	3
118	2013JOHN10	222	29	11	11
118	2022STOU01	222	29	11	11
119	2019HUAH03	222	31	5	4
119	2021SOTO01	222	31	1	1
119	2013EGDA02	222	31	13	1
119	2012CALL01	222	31	13	13
120	2018ZHUA10	222	35	14	14
121	2019GAOY01	222	36	6	5
121	2022GLAD01	222	36	14	5
122	2020BURN06	222	38	15	3
122	2022COST03	222	38	15	1
122	2019TARA09	222	38	15	3
123	2021ZAJD02	222	41	18	6
124	2021EDEN01	222	42	19	2
124	2023SHOJ01	222	42	15	15
124	2023SEVE03	222	42	15	15
124	2023XIAT01	222	42	7	6
124	2016THAK01	222	42	7	1
124	2016JONE04	222	42	3	3
125	2017LIXU06	222	48	9	7
125	2023YUHA01	222	48	9	7
125	2022CIEP01	222	48	20	7
125	2022ORBA01	222	48	20	1
126	2016LINB01	222	52	17	1
127	2013GERH01	222	53	22	1
127	2013MARC05	222	53	22	1
127	2015SANC11	222	53	18	17
127	2021YEXA01	222	53	18	17
128	2021CHEL01	222	57	24	2
128	2022JOHN14	222	57	4	1
128	2018CREE01	222	57	20	19
129	2016GUOS02	222	60	11	1
129	2016JENS09	222	60	25	3
129	2016PILA03	222	60	21	20
129	2017HERN11	222	60	21	1
131	2015SANT44	222	64	23	21
131	2023FANG02	222	64	26	4
132	2023LAVO01	222	66	24	2
132	2021ZHAN01	222	66	12	9
132	2022VERA02	222	66	2	1
132	2022IVAR01	222	66	27	4
132	2019YAOJ01	222	66	24	22
132	2015LARS04	222	66	27	1
134	2018KHAN26	222	72	26	23
134	2018LIUN01	222	72	29	26
134	2017CHOI07	222	72	13	1
134	2023SWIT03	222	72	29	2
134	2018WANG35	222	72	13	10
135	2015CHER07	222	77	27	24
135	2016CHAN09	222	77	16	2
135	2016KOLA02	222	77	30	8
135	2012PANJ02	222	77	16	12
135	2014CZAP01	222	77	30	8
136	2017XURU04	222	82	18	13
136	2015VANL01	222	82	28	25
136	2019MAGU04	222	82	3	1
136	2023MAGA09	222	82	18	1
136	2022MATY01	222	82	32	2
137	2022MULL02	222	87	33	2
137	2022FEDE01	222	87	33	1
137	2019VUJC01	222	87	5	2
137	2022ADAM01	222	87	5	4
137	2021LILI03	222	87	20	14
137	2014DETL01	222	87	33	2
137	2017NIEL03	222	87	29	26
137	2015QUAN03	222	87	20	1
138	2016OCHS01	222	95	31	28
138	2017ZHAQ04	222	95	22	15
138	2021LABE01	222	95	36	10
138	2021ZHUA01	222	95	22	15
138	2022FRED05	222	95	22	2
138	2022KEET01	222	95	22	2
