id	value	attempt_number	result_id	created_at	updated_at
1	1438	1	7081032	2025-05-06 05:21:04.199475	2025-05-06 05:21:04.199475
2	1352	2	7081032	2025-05-06 05:21:04.199475	2025-05-06 05:21:04.199475
3	1528	3	7081032	2025-05-06 05:21:04.199475	2025-05-06 05:21:04.199475
4	1673	4	7081032	2025-05-06 05:21:04.199475	2025-05-06 05:21:04.199475
5	1445	5	7081032	2025-05-06 05:21:04.199475	2025-05-06 05:21:04.199475
6	7047	1	7079543	2025-05-06 05:22:27.955271	2025-05-06 05:22:27.955271
7	-1	2	7079543	2025-05-06 05:22:27.955271	2025-05-06 05:22:27.955271
8	2166	1	7079253	2025-05-06 05:23:03.378766	2025-05-06 05:23:03.378766
9	-1	2	7079253	2025-05-06 05:23:03.378766	2025-05-06 05:23:03.378766
10	1439	3	7079253	2025-05-06 05:23:03.378766	2025-05-06 05:23:03.378766
11	1747	4	7079253	2025-05-06 05:23:03.378766	2025-05-06 05:23:03.378766
12	1487	5	7079253	2025-05-06 05:23:03.378766	2025-05-06 05:23:03.378766
13	1543	1	7079226	2025-05-06 05:23:03.414719	2025-05-06 05:23:03.414719
14	1827	2	7079226	2025-05-06 05:23:03.414719	2025-05-06 05:23:03.414719
15	1776	3	7079226	2025-05-06 05:23:03.414719	2025-05-06 05:23:03.414719
16	1597	4	7079226	2025-05-06 05:23:03.414719	2025-05-06 05:23:03.414719
17	1323	5	7079226	2025-05-06 05:23:03.414719	2025-05-06 05:23:03.414719
18	1816	1	7079242	2025-05-06 05:23:03.449267	2025-05-06 05:23:03.449267
19	-1	2	7079242	2025-05-06 05:23:03.449267	2025-05-06 05:23:03.449267
20	1480	3	7079242	2025-05-06 05:23:03.449267	2025-05-06 05:23:03.449267
21	1672	4	7079242	2025-05-06 05:23:03.449267	2025-05-06 05:23:03.449267
22	1592	5	7079242	2025-05-06 05:23:03.449267	2025-05-06 05:23:03.449267
23	1875	1	7079200	2025-05-06 05:23:03.471124	2025-05-06 05:23:03.471124
24	1334	2	7079200	2025-05-06 05:23:03.471124	2025-05-06 05:23:03.471124
25	1660	3	7079200	2025-05-06 05:23:03.471124	2025-05-06 05:23:03.471124
26	1679	4	7079200	2025-05-06 05:23:03.471124	2025-05-06 05:23:03.471124
