pos	best	average	value1	value2	value3	value4	value5	competitionId	eventId	roundTypeId	personName	personId	formatId	regionalSingleRecord	regionalAverageRecord	personCountryId
15	1968	2128	0	0	0	0	0	LyonOpen2007	333	1	Etienne Amany	2007AMAN01	a	AfR	AfR	Cote d_Ivoire
16	1731	2140	0	0	0	0	0	LyonOpen2007	333	1	Thomas Rouault	2004ROUA01	a	NULL	NULL	France
17	2305	2637	0	0	0	0	0	LyonOpen2007	333	1	Antoine Simon-Chautemps	2005SIMO01	a	NULL	NULL	France
18	2452	2637	0	0	0	0	0	LyonOpen2007	333	1	Irène Mallordy	2007MALL01	a	NULL	NULL	France
19	2677	2906	0	0	0	0	0	LyonOpen2007	333	1	Marlène Desmaisons	2007DESM01	a	NULL	NULL	France
20	1869	2910	0	0	0	0	0	LyonOpen2007	333	1	Ton Dennenbroek	2003DENN01	a	NULL	NULL	Netherlands
21	2411	2910	0	0	0	0	0	LyonOpen2007	333	1	Arnaud van Galen	2006GALE01	a	NULL	NULL	Netherlands
22	2385	3111	0	0	0	0	0	LyonOpen2007	333	1	Cyrille Cornu	2007CORN01	a	NULL	NULL	France
23	2639	3111	0	0	0	0	0	LyonOpen2007	333	1	Christophe Woittequand	2005WOIT01	a	NULL	NULL	France
24	2687	3265	0	0	0	0	0	LyonOpen2007	333	1	Georges Poinsot	2007POIN01	a	NULL	NULL	France
25	2934	3337	0	0	0	0	0	LyonOpen2007	333	1	Laetitia Lemoine	2007LEMO01	a	NULL	NULL	France
26	3062	3949	0	0	0	0	0	LyonOpen2007	333	1	Jean-Louis Mathieu	2006MATH01	a	NULL	NULL	France
27	3609	4430	0	0	0	0	0	LyonOpen2007	333	1	Guillaume Terrancle	2007TERR01	a	NULL	NULL	France
28	4416	4894	0	0	0	0	0	LyonOpen2007	333	1	Maria Oey	2007OEYM01	a	NULL	NR	Indonesia
29	3727	5327	0	0	0	0	0	LyonOpen2007	333	1	Olivier Pibarot	2007PIBA01	a	NULL	NULL	France
30	5484	8876	0	0	0	0	0	LyonOpen2007	333	1	Pierre-Baptiste Boccard	2007BOCC01	a	NULL	NULL	France
